wl,n,k
0.889,3.1546,4.8123
0.89,3.1573,4.8153
0.891,3.16,4.8183
0.892,3.1628,4.8213
0.893,3.1655,4.8242
0.894,3.1682,4.8272
0.895,3.171,4.8302
0.896,3.1737,4.8332
0.897,3.1764,4.8361
0.898,3.1791,4.8391
0.899,3.1819,4.842
0.9,3.1846,4.845
0.901,3.1873,4.8479
0.902,3.19,4.8509
0.903,3.1927,4.8538
0.904,3.1954,4.8568
0.905,3.1981,4.8597
0.906,3.2008,4.8627
0.907,3.2035,4.8656
0.908,3.2062,4.8686
0.909,3.2089,4.8715
0.91,3.2116,4.8744
0.911,3.2143,4.8774
0.912,3.217,4.8803
0.913,3.2197,4.8832
0.914,3.2224,4.8861
0.915,3.2251,4.8891
0.916,3.2278,4.892
0.917,3.2305,4.8949
0.918,3.2331,4.8978
0.919,3.2358,4.9007
0.92,3.2385,4.9036
0.921,3.2412,4.9065
0.922,3.2438,4.9095
0.923,3.2465,4.9124
0.924,3.2492,4.9153
0.925,3.2518,4.9182
0.926,3.2545,4.9211
0.927,3.2572,4.9239
0.928,3.2598,4.9268
0.929,3.2625,4.9297
0.93,3.2652,4.9326
0.931,3.2678,4.9355
0.932,3.2705,4.9384
0.933,3.2731,4.9413
0.934,3.2758,4.9441
0.935,3.2784,4.947
0.936,3.2811,4.9499
0.937,3.2837,4.9528
0.938,3.2863,4.9556
0.939,3.289,4.9585
0.94,3.2916,4.9614
0.941,3.2942,4.9642
0.942,3.2969,4.9671
0.943,3.2995,4.97
0.944,3.3021,4.9728
0.945,3.3048,4.9757
0.946,3.3074,4.9785
0.947,3.31,4.9814
0.948,3.3126,4.9842
0.949,3.3153,4.9871
0.95,3.3179,4.9899
0.951,3.3205,4.9928
0.952,3.3231,4.9956
0.953,3.3257,4.9985
0.954,3.3283,5.0013
0.955,3.3309,5.0041
0.956,3.3335,5.007
0.957,3.3361,5.0098
0.958,3.3387,5.0126
0.959,3.3413,5.0154
0.96,3.3439,5.0183
0.961,3.3465,5.0211
0.962,3.3491,5.0239
0.963,3.3517,5.0267
0.964,3.3543,5.0295
0.965,3.3569,5.0324
0.966,3.3595,5.0352
0.967,3.3621,5.038
0.968,3.3647,5.0408
0.969,3.3672,5.0436
0.97,3.3698,5.0464
0.971,3.3724,5.0492
0.972,3.375,5.052
0.973,3.3775,5.0548
0.974,3.3801,5.0576
0.975,3.3827,5.0604
0.976,3.3853,5.0632
0.977,3.3878,5.066
0.978,3.3904,5.0688
0.979,3.3929,5.0716
0.98,3.3955,5.0744
0.981,3.3981,5.0771
0.982,3.4006,5.0799
0.983,3.4032,5.0827
0.984,3.4057,5.0855
0.985,3.4083,5.0883
0.986,3.4108,5.091
0.987,3.4134,5.0938
0.988,3.4159,5.0966
0.989,3.4185,5.0993
0.99,3.421,5.1021
0.991,3.4235,5.1049
0.992,3.4261,5.1076
0.993,3.4286,5.1104
0.994,3.4312,5.1132
0.995,3.4337,5.1159
0.996,3.4362,5.1187
0.997,3.4387,5.1214
0.998,3.4413,5.1242
0.999,3.4438,5.1269
1,3.4463,5.1297
1.0025,3.4526,5.1365
1.005,3.4589,5.1434
1.0075,3.4652,5.1502
1.01,3.4714,5.1571
1.0125,3.4777,5.1639
1.015,3.4839,5.1707
1.0175,3.4902,5.1775
1.02,3.4964,5.1843
1.0225,3.5026,5.191
1.025,3.5088,5.1978
1.0275,3.515,5.2046
1.03,3.5212,5.2113
1.0325,3.5273,5.218
1.035,3.5335,5.2248
1.0375,3.5396,5.2315
1.04,3.5458,5.2382
1.0425,3.5519,5.2449
1.045,3.558,5.2515
1.0475,3.5641,5.2582
1.05,3.5702,5.2649
1.0525,3.5763,5.2715
1.055,3.5823,5.2782
1.0575,3.5884,5.2848
1.06,3.5944,5.2914
1.0625,3.6005,5.298
1.065,3.6065,5.3046
1.0675,3.6125,5.3112
1.07,3.6185,5.3178
1.0725,3.6245,5.3244
1.075,3.6305,5.3309
1.0775,3.6365,5.3375
1.08,3.6424,5.344
1.0825,3.6484,5.3506
1.085,3.6543,5.3571
1.0875,3.6602,5.3636
1.09,3.6662,5.3701
1.0925,3.6721,5.3766
1.095,3.678,5.3831
1.0975,3.6839,5.3896
1.1,3.6897,5.3961
1.1025,3.6956,5.4025
1.105,3.7015,5.409
1.1075,3.7073,5.4154
1.11,3.7132,5.4219
1.1125,3.719,5.4283
1.115,3.7248,5.4347
1.1175,3.7306,5.4411
1.12,3.7364,5.4475
1.1225,3.7422,5.4539
1.125,3.748,5.4603
1.1275,3.7538,5.4667
1.13,3.7595,5.4731
1.1325,3.7653,5.4794
1.135,3.771,5.4858
1.1375,3.7767,5.4921
1.14,3.7825,5.4985
1.1425,3.7882,5.5048
1.145,3.7939,5.5111
1.1475,3.7996,5.5174
1.15,3.8052,5.5237
1.1525,3.8109,5.53
1.155,3.8166,5.5363
1.1575,3.8222,5.5426
1.16,3.8279,5.5489
1.1625,3.8335,5.5552
1.165,3.8391,5.5614
1.1675,3.8448,5.5677
1.17,3.8504,5.5739
1.1725,3.856,5.5802
1.175,3.8616,5.5864
1.1775,3.8671,5.5926
1.18,3.8727,5.5988
1.1825,3.8783,5.605
